user_id,age_group,is_senior,device_type,access_time_cluster,session_count,tap_path_entropy,task_time_sec,misclicks,first_click_sec,scroll_depth,entry_count_F01,last_access_days_F01,success_rate_F01,entry_count_F02,last_access_days_F02,success_rate_F02,entry_count_F03,last_access_days_F03,success_rate_F03,entry_count_F04,last_access_days_F04,success_rate_F04,entry_count_F05,last_access_days_F05,success_rate_F05,entry_count_F06,last_access_days_F06,success_rate_F06,entry_count_F07,last_access_days_F07,success_rate_F07,entry_count_F08,last_access_days_F08,success_rate_F08,entry_count_F09,last_access_days_F09,success_rate_F09,entry_count_F10,last_access_days_F10,success_rate_F10,entry_count_F11,last_access_days_F11,success_rate_F11,entry_count_F12,last_access_days_F12,success_rate_F12,entry_count_F13,last_access_days_F13,success_rate_F13,entry_count_F14,last_access_days_F14,success_rate_F14,entry_count_F15,last_access_days_F15,success_rate_F15,entry_count_F16,last_access_days_F16,success_rate_F16,density_level
f8419d93-a910-41cb-ac79-29183feecd63,30s,False,iOS,afternoon,11,1.38,9.3,0,3.75,0.57,14,24,1.0,7,31,0.638,10,2,0.528,7,21,0.682,5,18,0.687,2,37,0.586,3,17,0.755,2,23,0.502,9,25,0.58,16,2,0.698,0,9,0.0,11,40,0.755,15,7,0.679,1,21,0.851,16,42,0.813,6,9,0.994,HIGH
d0b8f2a5-ab6a-4419-8c0d-6042417a0952,20s,False,Android,night,6,2.84,47.2,0,2.29,0.18,3,3,0.602,2,8,0.593,6,10,1.0,1,15,0.833,5,18,0.672,4,1,0.302,18,33,0.428,2,20,0.521,12,8,0.693,17,4,0.762,16,6,0.565,19,9,0.809,8,21,0.784,18,41,0.618,16,36,0.522,19,23,0.357,MID
facf2203-a443-4ea4-ad43-ff527447ad50,20s,False,Android,morning,6,1.94,25.9,0,1.81,0.19,19,4,0.892,0,26,0.0,11,16,0.62,8,19,0.71,7,41,0.429,14,17,0.466,5,20,0.928,7,20,0.745,7,24,0.606,19,15,0.694,10,4,0.628,10,32,0.715,17,9,0.633,15,33,0.683,10,37,0.799,3,26,0.789,HIGH
ca95bd60-e5e5-44f0-aecd-7d1f1a6c9b07,70s,True,Android,afternoon,11,3.64,21.68320565809412,1,0.5084574494506205,0.68,6,33,0.374,4,22,0.819,9,0,0.738,18,14,0.697,19,16,0.824,1,12,0.634,8,34,0.381,4,24,0.827,1,43,0.601,17,8,0.555,19,39,0.387,7,36,0.813,4,25,0.328,14,27,0.885,18,16,0.648,2,5,0.821,HIGH
092bdac5-eb1e-43b4-9e14-75e1b29d747e,40s,False,iOS,afternoon,3,1.65,29.6,0,2.75,0.46,16,19,0.586,13,28,0.697,13,35,0.734,12,26,0.744,9,41,0.681,4,25,0.418,3,8,0.831,1,8,0.762,8,18,0.77,19,26,1.0,13,39,0.58,12,6,0.766,8,9,0.545,10,21,0.749,19,9,0.837,14,23,0.662,HIGH
f41362af-6342-4f0d-98a0-b63f06280362,30s,False,iOS,evening,10,3.61,8.5,0,4.22,0.16,14,24,0.624,17,25,0.662,15,20,0.837,3,43,0.829,15,8,0.757,3,43,0.899,13,39,0.844,10,37,0.824,12,37,0.459,12,5,0.755,6,24,0.727,19,40,0.921,8,31,0.27,9,20,0.675,5,16,0.714,2,4,0.537,HIGH
60eb0aff-3689-430e-ac84-a55b3380d473,20s,False,iOS,morning,7,2.14,13.7,0,1.04,0.21,15,12,0.79,19,17,0.786,10,39,0.877,19,25,0.669,0,41,0.0,1,6,0.804,3,16,0.798,18,29,0.777,12,22,1.0,16,29,0.889,17,5,0.572,6,21,0.849,4,27,0.704,18,14,0.669,15,19,0.91,3,8,0.563,HIGH
5cb5e21c-af75-4c8f-ae76-3756b5b52b1a,60s,True,Android,night,8,2.1,42.13044564735105,1,5.789659088890447,0.19,9,1,0.634,10,12,0.513,19,23,0.6,9,43,0.491,1,10,0.678,4,27,1.0,1,0,0.654,9,12,0.651,9,36,0.684,16,33,0.92,15,20,1.0,12,34,0.968,12,19,0.844,13,41,0.572,19,26,0.848,8,16,0.507,LOW
956c35c0-7310-4bde-a0c5-53898ed0438c,60s,True,Android,night,6,2.18,10.159812620364931,0,1.4088484871375413,0.63,17,25,0.481,2,36,0.956,3,17,0.784,5,8,0.749,17,7,0.579,14,33,0.494,7,36,0.727,2,11,0.697,6,31,0.539,11,6,0.534,1,10,0.527,15,4,0.523,16,19,0.606,16,15,0.75,7,10,0.775,9,32,0.694,HIGH
567db9bd-b40c-4435-8f34-b1fdaa1e56b4,70s,True,Android,evening,3,1.74,30.972222953709924,1,2.4975233428912658,0.24,18,28,0.41,12,28,0.288,19,19,0.672,17,22,0.862,15,34,0.674,1,26,0.793,9,22,0.746,8,34,0.525,11,44,0.556,2,8,0.447,15,34,0.927,19,5,0.826,17,5,0.684,8,36,0.665,12,19,0.58,6,27,0.759,MID
16402c88-e5b6-4a17-8cff-06e440035d1c,30s,False,iOS,evening,4,1.39,13.2,2,1.2,0.18,4,36,0.678,18,41,0.721,5,30,0.528,8,10,0.605,6,43,0.724,0,19,0.0,19,19,0.704,15,34,0.751,11,17,0.482,16,9,0.704,11,25,0.368,17,1,0.878,17,23,0.783,15,4,0.682,6,33,0.348,4,8,0.552,HIGH
2a74003c-2f4a-4fd1-83be-47554db1ecc4,30s,False,iOS,night,7,2.24,7.7,2,2.2,0.92,8,3,0.54,4,3,0.87,15,18,0.487,9,7,0.904,3,10,0.729,5,9,0.642,18,28,0.662,5,5,0.712,5,1,0.78,18,41,0.433,4,28,0.586,7,3,0.707,3,19,0.876,15,17,0.87,18,11,0.939,16,23,0.862,HIGH
f38fe144-ea8f-46ec-bd28-c8b38e700b98,60s,True,Android,night,1,1.72,16.251543645526546,1,5.386644273795491,0.94,8,8,0.479,10,2,0.338,16,19,0.476,2,13,0.682,10,22,0.673,11,37,0.624,15,35,0.78,4,13,0.665,13,35,0.758,3,20,0.813,19,36,1.0,18,17,0.685,7,29,0.879,9,9,0.734,1,27,0.742,17,23,0.687,MID
4244ec5a-9e21-4e8f-92db-6b74d2f7bc4a,20s,False,iOS,morning,9,3.74,23.1,1,3.15,0.66,18,37,0.658,9,9,0.546,6,25,0.884,9,2,0.796,16,38,0.737,16,17,0.831,17,2,0.464,10,38,0.62,5,9,0.762,8,35,1.0,15,10,0.731,6,43,0.626,2,28,0.351,18,23,0.985,2,20,0.739,6,9,0.675,MID
c0c44480-acbe-4adf-8367-f98deef9e159,60s,True,iOS,night,10,1.85,36.230260745823315,4,1.1903222053836782,0.21,7,3,0.988,1,3,0.715,10,37,0.621,1,34,0.706,8,39,0.695,8,23,0.484,8,20,0.837,3,21,0.672,8,35,0.717,8,6,0.922,15,37,0.503,19,30,0.584,17,3,0.747,4,13,0.834,9,31,0.607,2,13,0.615,LOW
3a064569-e1d2-4f8d-921d-793f5c094097,60s,True,iOS,morning,3,2.46,69.20190440104116,1,3.8302919087124288,0.67,15,20,0.678,8,3,0.826,6,19,1.0,15,10,0.653,9,24,0.711,19,21,0.956,1,27,0.745,18,22,0.732,12,27,0.919,2,3,0.714,13,21,0.552,6,22,0.882,19,43,0.461,11,8,0.852,2,4,0.699,12,19,0.655,LOW
4eb59bb7-85e1-41bd-984f-adc1c1df3914,40s,False,iOS,evening,6,0.9,17.3,1,3.25,0.33,14,17,0.639,12,13,0.412,15,11,0.7,18,7,0.844,15,16,0.404,19,32,0.699,5,30,0.631,5,33,0.84,19,4,0.661,10,32,0.815,17,14,0.797,4,30,0.801,16,42,0.934,8,20,0.666,19,26,0.709,15,1,0.762,HIGH
ca99e36a-78a3-4ce8-ae03-a9d91c4b0a1a,70s,True,Android,afternoon,4,2.48,26.936506181412668,3,2.231467814230836,0.13,17,2,0.705,4,44,0.642,11,43,0.604,6,11,0.655,13,30,0.771,1,41,0.675,11,1,0.759,16,23,0.798,12,30,0.912,8,20,0.743,16,5,0.669,0,26,0.0,18,15,0.735,10,40,0.616,4,6,0.521,14,43,0.426,MID
7450381d-361a-4fe1-a6db-fac8c8fb366d,20s,False,Android,afternoon,11,1.7,54.8,0,0.52,0.35,9,32,0.715,6,19,0.74,4,27,0.73,10,36,0.781,0,4,0.0,17,21,0.529,13,11,0.66,17,10,0.467,3,18,0.633,2,37,0.617,8,9,0.79,10,0,0.793,10,42,0.705,17,34,0.63,3,40,0.583,3,24,0.783,MID
6bec53c2-304c-437f-91a7-e974d6adac2c,60s,True,Android,morning,1,2.64,1.5989342301131375,2,5.092198453132681,0.08,10,21,0.692,10,14,0.613,2,32,0.83,19,7,0.442,14,20,0.571,10,33,0.497,18,38,0.695,3,38,0.598,11,27,0.509,2,11,0.516,12,44,0.643,9,3,0.587,17,15,0.569,8,21,0.708,2,12,0.434,0,38,0.0,HIGH
ef6d4d26-a7d4-4880-be59-bed2bb09a160,60s,True,iOS,afternoon,9,3.33,42.08204584075953,2,4.921349298926458,0.49,3,30,0.773,10,12,0.687,4,19,0.819,10,23,0.654,8,1,0.954,6,16,0.815,15,4,0.733,9,11,0.773,6,17,0.616,0,17,0.0,16,23,0.582,2,0,0.73,15,15,0.579,14,4,0.759,16,42,0.735,19,27,0.713,LOW
dde74075-c1c8-4e1c-bd8f-0543ed83941b,70s,True,iOS,night,10,3.16,23.97105332769864,1,2.790803097152488,0.55,1,44,0.686,1,20,0.878,10,14,0.51,3,44,0.799,0,5,0.0,4,2,0.939,19,11,0.696,0,4,0.0,10,19,0.771,14,22,0.582,19,11,0.69,14,38,0.479,2,12,0.31,17,17,0.628,18,43,0.626,14,13,0.64,MID
7e00ef45-db5a-4b6b-b208-beec1352b9a3,30s,False,Android,morning,5,1.4,15.8,1,1.97,0.35,7,13,0.585,14,29,0.551,7,2,0.775,11,1,0.532,18,33,0.516,0,24,0.0,2,42,0.755,4,13,0.626,16,10,0.61,12,18,0.483,14,21,0.741,6,5,0.654,10,35,0.845,3,15,0.78,0,27,0.0,5,11,0.489,HIGH
8810098b-d15e-4d44-be9d-1eb870b6ea01,60s,True,iOS,evening,1,1.52,22.557884011535762,1,1.409375764675253,0.38,6,14,0.758,1,10,0.724,4,26,0.817,19,2,0.63,10,41,0.77,6,3,0.794,15,21,0.823,17,5,0.818,15,34,0.579,6,22,0.932,1,20,0.443,15,12,0.816,13,30,0.623,15,36,0.543,12,15,0.732,1,44,0.774,HIGH
63e6864f-9bd0-470f-9e67-ea0fabac2b14,60s,True,iOS,afternoon,5,2.14,29.566846324163915,3,5.382945676021473,0.43,10,21,0.696,5,2,1.0,3,27,0.763,11,21,0.715,16,30,0.643,19,22,0.58,19,7,0.737,2,25,0.748,3,13,0.686,11,7,1.0,18,15,0.592,11,11,0.559,1,8,0.645,16,22,0.69,10,3,0.573,13,17,0.734,LOW
0cbd41b0-1d88-448a-9c1e-69ac0e1a5c78,70s,True,Android,evening,11,1.36,32.85978878938267,2,0.9628769652799503,1.0,17,34,0.887,18,40,0.444,2,29,0.608,18,14,0.538,7,33,0.518,8,24,0.708,17,21,0.776,14,26,0.644,0,4,0.0,6,26,0.421,13,35,0.439,18,18,0.682,17,38,1.0,6,39,0.809,10,37,0.55,1,24,0.726,MID
6f968a75-e13a-4c48-b2b1-e051335bf424,30s,False,Android,morning,3,1.39,19.1,1,2.81,0.77,0,17,0.0,5,26,0.862,5,23,0.632,18,35,0.792,14,19,0.819,10,44,0.894,0,4,0.0,8,25,0.702,14,33,0.685,1,32,0.477,11,28,0.585,8,33,0.581,10,39,0.735,1,25,0.787,3,38,0.742,9,18,0.538,HIGH
61504ae0-7aa3-4904-ad79-35d1b2baf2ca,20s,False,Android,night,10,2.91,11.4,2,1.67,0.97,6,7,0.491,14,9,0.774,6,31,0.463,0,27,0.0,0,40,0.0,0,42,0.0,14,44,0.687,18,9,0.343,9,39,0.523,8,35,0.737,10,13,0.783,11,27,0.582,19,17,0.671,7,34,0.818,7,12,0.668,3,37,0.632,HIGH
47be116c-4f42-4644-b0bb-0e705dec37e5,30s,False,Android,evening,6,0.9,10.0,0,1.53,0.99,6,9,0.983,2,25,0.402,16,26,0.702,6,37,0.742,14,19,0.754,4,39,1.0,11,25,0.463,6,7,0.871,10,32,0.636,0,32,0.0,0,2,0.0,19,38,0.587,1,4,0.654,17,2,0.566,14,10,0.635,15,19,0.626,HIGH
51c4839e-c0bc-426f-8be4-e5b11d9510eb,60s,True,iOS,evening,10,2.3,56.6010501302443,1,3.276155796616492,0.89,15,11,0.761,1,16,0.659,5,20,0.889,13,13,0.702,17,16,0.778,16,39,0.92,11,6,0.85,19,38,0.467,8,6,0.695,2,2,0.713,3,44,0.825,6,33,0.827,16,26,0.671,16,16,0.672,6,26,0.555,19,11,0.596,LOW
513bea25-906e-4c7f-ba16-337568eea3cf,70s,True,Android,night,6,2.47,38.20583669152414,3,4.004685340060751,0.3,10,30,0.55,9,18,0.772,18,21,0.922,7,10,0.642,2,3,0.818,15,5,0.664,15,34,0.939,3,40,0.334,2,3,0.595,16,28,0.687,1,37,0.819,17,26,0.622,18,31,0.608,1,26,0.8,8,19,0.693,7,44,0.806,LOW
ca78f0d8-b1ad-4742-b817-a15a95b1155a,60s,True,iOS,morning,1,2.42,15.166684702567014,0,2.8161471505616475,0.58,12,32,0.742,5,35,0.57,15,4,0.744,16,23,0.344,11,30,0.565,7,26,0.445,0,33,0.0,17,37,0.904,19,26,0.605,14,20,0.351,0,32,0.0,7,23,0.932,6,2,0.715,7,8,1.0,18,42,0.697,19,10,0.472,HIGH
0b62bd46-1106-4d78-8c20-1d50570436d7,70s,True,iOS,evening,3,3.25,28.38713357507767,1,3.374344162437343,0.96,19,41,0.711,12,23,0.554,12,9,0.823,13,22,0.644,12,30,0.815,9,37,0.62,16,2,0.781,13,42,0.638,15,28,0.849,13,18,0.424,5,4,0.511,6,37,0.677,0,10,0.0,18,24,0.584,7,7,0.898,16,16,0.702,LOW
1067367c-44fd-4a7d-bdd3-d5f9d436b656,60s,True,Android,night,4,1.25,35.9886494500652,4,4.455112673620983,0.02,3,35,0.695,6,0,0.683,6,22,0.827,10,15,0.7,0,43,0.0,8,7,0.815,18,13,0.864,4,22,0.682,15,42,0.618,10,31,0.783,4,11,0.851,17,1,0.883,12,30,0.928,4,23,0.836,6,17,0.61,14,4,0.732,LOW
91de3e55-de30-43d1-a9f3-219e14c1a9b3,70s,True,iOS,evening,1,0.85,17.236356810790287,3,4.905764654245441,0.86,7,1,0.43,7,3,0.802,7,0,0.644,17,15,0.619,4,20,0.781,17,34,0.722,15,29,0.857,14,41,0.457,7,18,0.795,11,42,0.761,16,30,0.818,14,33,0.627,2,6,1.0,16,10,0.775,1,15,0.684,18,36,0.387,LOW
b3d0ea1f-3fd4-46fd-a987-3105a6854a4d,60s,True,Android,morning,4,1.61,5.022495083918152,6,5.831892441595376,0.57,6,15,0.77,13,10,0.796,11,22,0.727,10,28,0.757,3,19,0.555,12,9,0.906,7,8,0.845,16,34,0.751,5,38,0.849,16,39,0.912,18,35,0.794,3,38,1.0,3,18,0.807,7,33,0.577,18,41,0.743,8,25,0.856,LOW
